,name,last_name,age,gender,time,permanent_country,company,main_industry,wealth_source_details,industry,state,headquarters,countries,annual_income,daily_income,birth_year,name_cleaned
2033,Adam Kwok Kai-fai,,39,,2018,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,254985000,587884,1983,adam_kwok_kai_fai
2034,Adam Kwok Kai-fai,,39,,2018,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,254985000,535232,1983,adam_kwok_kai_fai
2035,Adam Kwok Kai-fai,,39,,2018,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,254985000,459452,1983,adam_kwok_kai_fai
2036,Adam Kwok Kai-fai,,39,,2019,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,224400000,698589,1983,adam_kwok_kai_fai
2037,Adam Kwok Kai-fai,,39,,2019,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,224400000,614794,1983,adam_kwok_kai_fai
2038,Adam Kwok Kai-fai,,39,,2019,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,224400000,587884,1983,adam_kwok_kai_fai
2039,Adam Kwok Kai-fai,,39,,2019,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,224400000,535232,1983,adam_kwok_kai_fai
2040,Adam Kwok Kai-fai,,39,,2019,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,224400000,459452,1983,adam_kwok_kai_fai
2041,Adam Kwok Kai-fai,,39,,2020,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,214578000,698589,1983,adam_kwok_kai_fai
2042,Adam Kwok Kai-fai,,39,,2020,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,214578000,614794,1983,adam_kwok_kai_fai
2043,Adam Kwok Kai-fai,,39,,2020,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,214578000,587884,1983,adam_kwok_kai_fai
2044,Adam Kwok Kai-fai,,39,,2020,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,214578000,535232,1983,adam_kwok_kai_fai
